"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
"1",11,"Tube",3,3.765181661,1.879799403,"Low","Y",1,0.233283307906754
"2",11,"Tube",3,3.371491921,0.64428373,"Low","Y",1,0.279898763033439
"3",11,"Tube",3,3.497137582,0.514449879,"Low","Y",1,0.290437296975634
"4",11,"Tube",3,3.283539958,2.043138763,"Low","Y",1,0.19723455293331
"5",11,"Tube",3,3.392432864,1.404439983,"Low","Y",1,0.225579617471928
"6",11,"Tube",3,3.758899378,0.721765221,"Low","Y",1,0.281974947063714
"7",11,"Tube",3,3.465726167,1.151054565,"Low","Y",1,0.244771208730137
"8",11,"Tube",3,3.327515939,1.132207716,"Low","Y",1,0.244188326730103
"9",11,"Tube",3,3.781934415,1.025408903,"Low","Y",1,0.264062055790329
"10",11,"Tube",3,3.70235883,1.278794321,"Low","Y",1,0.246518664466143
"11",11,"Tube",3,3.645818282,1.496580134,"Low","Y",1,0.234322402355055
"12",11,"Tube",3,3.742146623,1.513332889,"Low","Y",1,0.240529884207848
"13",11,"Tube",3,3.658382848,1.775094684,"Low","Y",1,0.226649949464694
"14",11,"Tube",3,3.319139562,1.72483642,"Low","Y",1,0.20307170179919
"15",11,"Tube",3,3.645818282,2.005445064,"Low","Y",1,0.223771497650299
"16",11,"Tube",3,3.562054508,2.116432065,"Low","Y",1,0.217314300751223
"17",11,"Tube",3,3.683511981,2.089208839,"Low","Y",1,0.22621722411707
"18",11,"Tube",3,3.428032469,2.072456084,"Low","Y",1,0.207645971337737
"19",11,"Tube",3,2.334915212,2.124808443,"Low","N",2,0.127854857730875
"20",11,"Tube",3,3.203964372,2.053609234,"Low","N",2,0.191397384291314
"21",11,"Tube",3,2.879379746,1.919587195,"Low","N",2,0.168893898258377
"22",11,"Tube",3,2.466145824,1.69133091,"Low","N",2,0.144391967051342
"23",11,"Tube",3,2.864721085,1.846293893,"Low","N",2,0.168813773772226
"24",11,"Tube",3,3.185117523,1.747871458,"Low","N",2,0.193169653385187
"25",11,"Tube",3,3.017589974,1.697613193,"Low","N",2,0.182230152023748
"26",11,"Tube",3,2.747451801,1.69133091,"Low","N",2,0.16355073339772
"27",11,"Tube",3,2.940805816,2.100376644,"Low","N",2,0.172067747817836
"28",11,"Tube",3,2.915676684,2.080832461,"Low","N",2,0.170300516790533
"29",11,"Tube",3,2.748149135,2.133882154,"Low","N",2,0.157956629533098
"30",11,"Tube",3,2.595979674,2.159011286,"Low","N",2,0.146844071857376
"31",11,"Tube",3,2.383079383,1.73949508,"Low","N",2,0.137445765999656
"32",11,"Tube",3,2.203684601,1.677369583,"Low","N",2,0.12772344971854
"33",11,"Tube",3,1.983804693,1.67806901,"Low","N",2,0.114411355908066
"34",11,"Tube",3,1.593605809,1.959374988,"Low","N",2,0.0794291554777623
"35",11,"Tube",3,1.42607826,2.124808443,"Low","N",2,0.0623215759173308
"36",11,"Tube",3,1.233421578,1.687142721,"Low","Y",3,0.197577702107458
"37",11,"Tube",3,1.302526692,3.453161601,"Low","Y",3,0.0692060641642288
"38",11,"Tube",3,0.996788916,3.474102544,"Low","Y",3,0.0849993670341846
"39",11,"Tube",3,1.000977104,2.372608911,"Low","Y",3,0.150982362841239
"40",11,"Tube",3,0.906045525,2.115035304,"Low","Y",3,0.170953941126309
"41",11,"Tube",3,0.968868356,2.18693394,"Low","Y",3,0.164650147318233
"42",11,"Tube",3,0.858578688,2.272092381,"Low","Y",3,0.161200087595902
"43",11,"Tube",3,0.926986468,4.039508022,"Low","Y",4,0.0869715729172819
"44",11,"Tube",3,1.635487696,3.975987858,"Low","Y",4,0.0355048039072367
"45",11,"Tube",3,1.199218735,3.906882744,"Low","Y",4,0.0660737326784705
"46",11,"Tube",3,1.1140582,4.066033915,"Low","Y",4,0.073968139708197
"47",11,"Tube",3,1.812167943,3.711635014,"Low","Y",4,0.0231575969265446
"48",11,"Tube",3,1.27739756,3.770069277,"Low","Y",4,0.0604028078749979
"49",11,"Tube",3,1.434454637,3.676532364,"Low","Y",4,0.0501660871412683
"50",11,"Tube",3,1.72483642,4.098842091,"Low","Y",4,0.0334295947838195
"51",11,"Tube",3,1.826747616,4.038810688,"Low","Y",4,0.0248332138335389
"52",11,"Tube",3,2.040345241,4.027642883,"Low","Y",4,0.0144583149698756
"53",11,"Tube",3,3.53901947,3.963423291,"Low","N",5,0.105100175003974
"54",11,"Tube",3,3.03015454,3.661873703,"Low","N",5,0.0688370787777589
"55",11,"Tube",3,4.607007594,3.701661496,"Low","N",5,0.182857278268015
"56",11,"Tube",3,3.387547342,3.730281484,"Low","N",5,0.0940043930373087
"57",11,"Tube",3,4.195168338,3.661873703,"Low","N",5,0.153101218602733
"58",11,"Tube",3,6.4002497,3.908976838,"Low","Y",6,0.313372381008554
"59",11,"Tube",3,5.698030756,4.024152028,"Low","Y",6,0.262476225771801
"60",11,"Tube",3,6.528688883,3.97319643,"Low","Y",6,0.322843533777584
"61",11,"Tube",3,5.46977447,4.057657538,"Low","Y",6,0.246002695724108
"62",11,"Tube",3,5.346222903,3.831495347,"Low","Y",6,0.236480002768455
"63",11,"Tube",3,6.349991435,4.090465714,"Low","Y",6,0.310207209642415
"64",11,"Tube",3,5.601702415,3.659779609,"Low","Y",6,0.255443268919618
"65",11,"Tube",3,6.687840055,3.716320157,"Low","Y",6,0.334421021322078
"66",11,"Tube",3,6.542648116,3.146726491,"Low","Y",7,0.341228562933755
"67",11,"Tube",3,6.24389205,2.033365624,"Low","Y",7,0.414862474131283
"68",11,"Tube",3,5.589137849,2.103867499,"Low","N",8,0.455362934952746
"69",11,"Tube",3,4.381542736,1.790450678,"Low","N",8,0.545771253598703
"70",11,"Tube",3,5.471868565,1.716460042,"Low","N",8,0.472090407389818
"71",11,"Tube",3,5.086555202,2.080832461,"Low","N",8,0.492043222976755
"72",11,"Tube",3,5.735724454,1.784867823,"Low","N",8,0.453222994613411
"73",11,"Tube",3,6.066591363,2.072456084,"Low","N",8,0.421605411306231
"74",11,"Tube",3,5.14309575,1.733212797,"Low","N",8,0.493303002041017
"75",11,"Tube",4,3.352242302,1.519129747,"Low","Y",1,0.221204377973157
"76",11,"Tube",4,3.650393978,1.772427866,"Low","Y",1,0.230582190916173
"77",11,"Tube",4,3.42612026,0.929420062,"Low","Y",1,0.264215426552434
"78",11,"Tube",4,3.688653867,1.976912668,"Low","Y",1,0.231512818001644
"79",11,"Tube",4,3.515829351,1.085093524,"Low","Y",1,0.255015862036023
"80",11,"Tube",4,3.751978397,1.385885041,"Low","Y",1,0.249333762198943
"81",11,"Tube",4,3.405011424,1.633905457,"Low","Y",1,0.219077113149315
"82",11,"Tube",4,3.484167087,2.123350643,"Low","Y",1,0.216101091061768
"83",11,"Tube",4,3.381264725,1.761874438,"Low","Y",1,0.211421182688491
"84",11,"Tube",4,3.43799361,1.984828234,"Low","Y",1,0.213250174058711
"85",11,"Tube",4,3.593667072,0.255277011,"Low","Y",1,0.314807230881358
"86",11,"Tube",4,3.730869561,0.206465672,"Low","Y",1,0.320744010369789
"87",11,"Tube",4,3.688653867,0.581135148,"Low","Y",1,0.293844469082745
"88",11,"Tube",4,3.346964598,1.110158165,"Low","Y",1,0.250371106572306
"89",11,"Tube",4,3.571238315,1.244722791,"Low","Y",1,0.246549318289004
"90",11,"Tube",4,3.631924983,1.164249187,"Low","Y",1,0.253891622258605
"91",11,"Tube",4,3.745380772,1.085093524,"Low","Y",1,0.263469314703708
"92",11,"Tube",4,3.750658476,1.170844832,"Low","Y",1,0.259011457205408
"93",11,"Tube",4,3.771767312,1.647098727,"Low","Y",1,0.24099756401684
"94",11,"Tube",4,3.50263806,1.834432476,"Low","Y",1,0.219225641453911
"95",11,"Tube",4,1.577176573,1.90435463,"Low","N",2,0.0860294880768736
"96",11,"Tube",4,2.872030624,1.685356638,"Low","N",2,0.176790187746988
"97",11,"Tube",4,2.244721999,1.959763594,"Low","N",2,0.127358098410554
"98",11,"Tube",4,2.099603945,1.790896861,"Low","N",2,0.121569533033028
"99",11,"Tube",4,1.983508314,2.041557119,"Low","N",2,0.107487138183277
"100",11,"Tube",4,2.800790528,1.964380348,"Low","N",2,0.167220692254426
"101",11,"Tube",4,2.731529323,1.796174565,"Low","N",2,0.16468804699967
"102",11,"Tube",4,3.025064245,1.71438104,"Low","N",2,0.186904972758492
"103",11,"Tube",4,3.166226495,2.127308426,"Low","N",2,0.192917635856418
"104",11,"Tube",4,3.114775315,1.70118777,"Low","N",2,0.193473139028154
"105",11,"Tube",4,2.594985805,1.746702276,"Low","N",2,0.156200266002854
"106",11,"Tube",4,2.687993709,1.994063721,"Low","N",2,0.158784324266631
"107",11,"Tube",4,2.656331444,2.0692616,"Low","N",2,0.155950116049202
"108",11,"Tube",4,2.515830143,2.023747094,"Low","N",2,0.146061281488407
"109",11,"Tube",4,2.676120359,2.124670564,"Low","N",2,0.157195499775365
"110",11,"Tube",4,2.083772812,2.13126621,"Low","N",2,0.114012763855501
"111",11,"Tube",4,1.867412682,1.664247802,"Low","N",2,0.113215100842416
"112",11,"Tube",4,1.439313135,1.697229987,"Low","N",2,0.096323088623346
"113",11,"Tube",4,1.120711594,1.946570324,"Low","Y",3,0.184071552373052
"114",11,"Tube",4,0.946569136,3.27440656,"Low","Y",3,0.100156781681069
"115",11,"Tube",4,0.873350149,2.963720585,"Low","Y",3,0.120405489428954
"116",11,"Tube",4,0.867413474,2.514512201,"Low","Y",3,0.149060739099999
"117",11,"Tube",4,1.049471497,3.213060922,"Low","Y",3,0.0981585011938192
"118",11,"Tube",4,1.239445087,3.399076728,"Low","Y",3,0.0791718418949996
"119",11,"Tube",4,1.257255111,1.70118777,"Low","Y",3,0.200927067006023
"120",11,"Tube",4,1.275065135,2.797493694,"Low","Y",3,0.121107861131908
"121",11,"Tube",4,0.956463594,3.771108342,"Low","Y",4,0.0881775322532207
"122",11,"Tube",4,1.104880461,3.701847137,"Low","Y",4,0.0779335642776304
"123",11,"Tube",4,1.53429993,4.006596437,"Low","Y",4,0.0472048080867855
"124",11,"Tube",4,0.920843546,3.945250799,"Low","Y",4,0.0908279122487405
"125",11,"Tube",4,1.841028121,3.691952679,"Low","Y",4,0.0262347434065264
"126",11,"Tube",4,1.888521519,4.014512003,"Low","Y",4,0.0232481526542687
"127",11,"Tube",4,1.31860075,4.034300919,"Low","Y",4,0.0629858483091722
"128",11,"Tube",4,1.42607826,3.957141008,"Low","Y",4,0.0542770984293907
"129",11,"Tube",4,1.322558533,3.622691475,"Low","Y",4,0.0635325014831353
"130",11,"Tube",4,4.08509115,4.054089835,"Low","N",5,0.140908592898637
"131",11,"Tube",4,3.203825435,4.025726382,"Low","N",5,0.0769286545576137
"132",11,"Tube",4,4.554088449,4.008575329,"Low","N",5,0.174706551728182
"133",11,"Tube",4,3.085091941,3.822559522,"Low","N",5,0.0672615054465352
"134",11,"Tube",4,4.72031534,4.095646557,"Low","Y",6,0.187296757590731
"135",11,"Tube",4,5.096963708,3.948549611,"Low","Y",6,0.21403249197484
"136",11,"Tube",4,6.647755719,3.998680871,"Low","Y",6,0.327164243786057
"137",11,"Tube",4,6.655671286,3.830475088,"Low","Y",6,0.327571390606484
"138",11,"Tube",4,5.26583044,3.637202686,"Low","Y",6,0.226773683108379
"139",11,"Tube",4,5.978890372,3.669525901,"Low","Y",6,0.278540784889105
"140",11,"Tube",4,6.424140973,1.875330228,"Low","Y",7,0.422933988593943
"141",11,"Tube",4,6.582452298,2.0692616,"Low","Y",7,0.411009994350094
"142",11,"Tube",4,4.456463792,1.701846741,"Low","N",8,0.537507933263916
"143",11,"Tube",4,5.086410279,2.006596041,"Low","N",8,0.488205382660414
"144",11,"Tube",4,4.864774424,1.750660059,"Low","N",8,0.507834000280686
"145",11,"Tube",4,5.680077747,1.671504397,"Low","N",8,0.457254242810315
"146",11,"Tube",4,5.355539531,1.689973392,"Low","N",8,0.476135115274071
"147",11,"Tube",5,3.774332549,2.052631283,"Low","Y",1,0.238605153481523
"148",11,"Tube",5,3.669068685,1.795963692,"Low","Y",1,0.232843973215421
"149",11,"Tube",5,3.705118428,1.966113631,"Low","Y",1,0.233969284960556
"150",11,"Tube",5,3.832011704,1.017304828,"Low","Y",1,0.272498946413039
"151",11,"Tube",5,3.344627492,1.053352408,"Low","Y",1,0.255680095527864
"152",11,"Tube",5,3.724584899,1.824802188,"Low","Y",1,0.236534034015892
"153",11,"Tube",5,3.814708174,0.522711532,"Low","Y",1,0.302492971438084
"154",11,"Tube",5,3.832011704,0.808219783,"Low","Y",1,0.284786002250586
"155",11,"Tube",5,3.42393606,1.02307123,"Low","Y",1,0.25867400141282
"156",11,"Tube",5,3.474403969,1.162942154,"Low","Y",1,0.249834746736177
"157",11,"Tube",5,3.807496928,1.284066866,"Low","Y",1,0.257940663122215
"158",11,"Tube",5,3.827685822,1.572458317,"Low","Y",1,0.251409442962382
"159",11,"Tube",5,3.634461624,1.52343309,"Low","Y",1,0.238506197514835
"160",11,"Tube",5,3.521988677,1.641672438,"Low","Y",1,0.228765488762783
"161",11,"Tube",5,3.457100439,1.667627734,"Low","Y",1,0.219480361843329
"162",11,"Tube",5,3.389328999,1.682048063,"Low","Y",1,0.214429632079099
"163",11,"Tube",5,3.354721939,1.726749571,"Low","Y",1,0.211245311965642
"164",11,"Tube",5,3.793078761,1.725306889,"Low","Y",1,0.242618489786136
"165",11,"Tube",5,3.670511367,1.992068927,"Low","Y",1,0.231306471076774
"166",11,"Tube",5,3.586876916,2.000720692,"Low","Y",1,0.22517881486484
"167",11,"Tube",5,3.824800458,1.754145385,"Low","Y",1,0.24454032704752
"168",11,"Tube",5,3.45565992,1.925740169,"Low","Y",1,0.21615091346345
"169",11,"Tube",5,2.846430736,1.697188652,"Low","N",2,0.175946913527896
"170",11,"Tube",5,2.91997074,2.099495732,"Low","N",2,0.176222654108548
"171",11,"Tube",5,3.129776045,1.852200166,"Low","N",2,0.193382516260914
"172",11,"Tube",5,2.457821563,2.153569264,"Low","N",2,0.142442232156119
"173",11,"Tube",5,2.589040723,1.805335717,"Low","N",2,0.155698709280685
"174",11,"Tube",5,1.91131984,1.840663037,"Low","N",2,0.108982954428021
"175",11,"Tube",5,3.259552522,2.07714606,"Low","N",2,0.201028752927427
"176",11,"Tube",5,2.971881331,1.894016309,"Low","N",2,0.181520973345763
"177",11,"Tube",5,3.030280745,1.697188652,"Low","N",2,0.188799976193582
"178",11,"Tube",5,2.385724241,1.689257146,"Low","N",2,0.144770356195249
"179",11,"Tube",5,2.421773984,2.090123707,"Low","N",2,0.139980257103987
"180",11,"Tube",5,2.11607684,1.918528923,"Low","N",2,0.120308659932116
"181",11,"Tube",5,1.522710667,1.766402773,"Low","N",2,0.0941082466021361
"182",11,"Tube",5,0.916366847,2.334536073,"Low","Y",3,0.161161842290535
"183",11,"Tube",5,1.178803002,2.44700902,"Low","Y",3,0.148552381655586
"184",11,"Tube",5,1.334534775,2.793079626,"Low","Y",3,0.122340210262004
"185",11,"Tube",5,1.141312741,2.198991031,"Low","Y",3,0.166841456586331
"186",11,"Tube",5,1.049026525,2.91997074,"Low","Y",3,0.117863814475572
"187",11,"Tube",5,1.054795089,3.199712588,"Low","Y",3,0.0999011542251774
"188",11,"Tube",5,1.34030334,3.358327562,"Low","Y",3,0.0811488867883934
"189",11,"Tube",5,2.237201552,4.0937276,"Low","Y",4,0.0159137608118804
"190",11,"Tube",5,1.793078328,3.721701698,"Low","Y",4,0.0299640628245566
"191",11,"Tube",5,1.536408574,3.963951123,"Low","Y",4,0.0465210924168221
"192",11,"Tube",5,1.919971605,4.113914331,"Low","Y",4,0.0246422879283558
"193",11,"Tube",5,2.263156847,3.912040532,"Low","Y",4,0.0070712676191912
